gender,marital,parenthood,country,age,category,total_moments,percent_category
m,single,y,GBR,60,nature,0,0
m,single,y,GBR,70,affection,0,0
m,single,y,GBR,70,leisure,0,0
m,single,y,GBR,70,bonding,0,0
m,single,y,GBR,70,achievement,0,0
m,single,y,GBR,70,enjoy_the_moment,0,0
m,single,y,GBR,70,exercise,0,0
m,single,y,GBR,70,nature,0,0
m,single,y,GBR,80,affection,0,0
m,single,y,GBR,80,leisure,0,0
m,single,y,GBR,80,bonding,0,0
m,single,y,GBR,80,achievement,0,0
m,single,y,GBR,80,enjoy_the_moment,0,0
m,single,y,GBR,80,exercise,0,0
m,single,y,GBR,80,nature,0,0
m,single,y,GBR,90,affection,0,0
m,single,y,GBR,90,leisure,0,0
m,single,y,GBR,90,bonding,0,0
m,single,y,GBR,90,achievement,0,0
m,single,y,GBR,90,enjoy_the_moment,0,0
m,single,y,GBR,90,exercise,0,0
m,single,y,GBR,90,nature,0,0
m,single,y,PHL,0,affection,0,0
m,single,y,PHL,0,leisure,0,0
m,single,y,PHL,0,bonding,0,0
m,single,y,PHL,0,achievement,0,0
m,single,y,PHL,0,enjoy_the_moment,0,0
m,single,y,PHL,0,exercise,0,0
m,single,y,PHL,0,nature,0,0
m,single,y,PHL,10,affection,0,0
m,single,y,PHL,10,leisure,0,0
m,single,y,PHL,10,bonding,0,0
m,single,y,PHL,10,achievement,0,0
m,single,y,PHL,10,enjoy_the_moment,0,0
m,single,y,PHL,10,exercise,0,0
m,single,y,PHL,10,nature,0,0
m,single,y,PHL,20,affection,0,0
m,single,y,PHL,20,leisure,0,0
m,single,y,PHL,20,bonding,0,0
m,single,y,PHL,20,achievement,0,0
m,single,y,PHL,20,enjoy_the_moment,0,0
m,single,y,PHL,20,exercise,0,0
m,single,y,PHL,20,nature,0,0
m,single,y,PHL,30,affection,3,0.0
m,single,y,PHL,30,leisure,3,0.0
m,single,y,PHL,30,bonding,3,33.33
m,single,y,PHL,30,achievement,3,66.67
m,single,y,PHL,30,enjoy_the_moment,3,0.0
m,single,y,PHL,30,exercise,3,0.0
m,single,y,PHL,30,nature,3,0.0
m,single,y,PHL,40,affection,0,0
m,single,y,PHL,40,leisure,0,0
m,single,y,PHL,40,bonding,0,0
m,single,y,PHL,40,achievement,0,0
m,single,y,PHL,40,enjoy_the_moment,0,0
m,single,y,PHL,40,exercise,0,0
m,single,y,PHL,40,nature,0,0
m,single,y,PHL,50,affection,0,0
m,single,y,PHL,50,leisure,0,0
m,single,y,PHL,50,bonding,0,0
m,single,y,PHL,50,achievement,0,0
m,single,y,PHL,50,enjoy_the_moment,0,0
m,single,y,PHL,50,exercise,0,0
m,single,y,PHL,50,nature,0,0
m,single,y,PHL,60,affection,0,0
m,single,y,PHL,60,leisure,0,0
m,single,y,PHL,60,bonding,0,0
m,single,y,PHL,60,achievement,0,0
m,single,y,PHL,60,enjoy_the_moment,0,0
m,single,y,PHL,60,exercise,0,0
m,single,y,PHL,60,nature,0,0
m,single,y,PHL,70,affection,0,0
m,single,y,PHL,70,leisure,0,0
m,single,y,PHL,70,bonding,0,0
m,single,y,PHL,70,achievement,0,0
m,single,y,PHL,70,enjoy_the_moment,0,0
m,single,y,PHL,70,exercise,0,0
m,single,y,PHL,70,nature,0,0
m,single,y,PHL,80,affection,0,0
m,single,y,PHL,80,leisure,0,0
m,single,y,PHL,80,bonding,0,0
m,single,y,PHL,80,achievement,0,0
m,single,y,PHL,80,enjoy_the_moment,0,0
m,single,y,PHL,80,exercise,0,0
m,single,y,PHL,80,nature,0,0
m,single,y,PHL,90,affection,0,0
m,single,y,PHL,90,leisure,0,0
m,single,y,PHL,90,bonding,0,0
m,single,y,PHL,90,achievement,0,0
m,single,y,PHL,90,enjoy_the_moment,0,0
m,single,y,PHL,90,exercise,0,0
m,single,y,PHL,90,nature,0,0
m,single,y,MEX,0,affection,0,0
m,single,y,MEX,0,leisure,0,0
m,single,y,MEX,0,bonding,0,0
m,single,y,MEX,0,achievement,0,0
m,single,y,MEX,0,enjoy_the_moment,0,0
m,single,y,MEX,0,exercise,0,0
m,single,y,MEX,0,nature,0,0
m,single,y,MEX,10,affection,0,0
m,single,y,MEX,10,leisure,0,0
m,single,y,MEX,10,bonding,0,0
m,single,y,MEX,10,achievement,0,0
m,single,y,MEX,10,enjoy_the_moment,0,0
m,single,y,MEX,10,exercise,0,0
m,single,y,MEX,10,nature,0,0
m,single,y,MEX,20,affection,0,0
m,single,y,MEX,20,leisure,0,0
m,single,y,MEX,20,bonding,0,0
m,single,y,MEX,20,achievement,0,0
m,single,y,MEX,20,enjoy_the_moment,0,0
m,single,y,MEX,20,exercise,0,0
m,single,y,MEX,20,nature,0,0
m,single,y,MEX,30,affection,0,0
m,single,y,MEX,30,leisure,0,0
m,single,y,MEX,30,bonding,0,0
m,single,y,MEX,30,achievement,0,0
m,single,y,MEX,30,enjoy_the_moment,0,0
m,single,y,MEX,30,exercise,0,0
m,single,y,MEX,30,nature,0,0
m,single,y,MEX,40,affection,0,0
m,single,y,MEX,40,leisure,0,0
m,single,y,MEX,40,bonding,0,0
m,single,y,MEX,40,achievement,0,0
m,single,y,MEX,40,enjoy_the_moment,0,0
m,single,y,MEX,40,exercise,0,0
m,single,y,MEX,40,nature,0,0
m,single,y,MEX,50,affection,0,0
m,single,y,MEX,50,leisure,0,0
m,single,y,MEX,50,bonding,0,0
m,single,y,MEX,50,achievement,0,0
m,single,y,MEX,50,enjoy_the_moment,0,0
m,single,y,MEX,50,exercise,0,0
m,single,y,MEX,50,nature,0,0
m,single,y,MEX,60,affection,0,0
m,single,y,MEX,60,leisure,0,0
m,single,y,MEX,60,bonding,0,0
m,single,y,MEX,60,achievement,0,0
m,single,y,MEX,60,enjoy_the_moment,0,0
m,single,y,MEX,60,exercise,0,0
m,single,y,MEX,60,nature,0,0
m,single,y,MEX,70,affection,0,0
m,single,y,MEX,70,leisure,0,0
m,single,y,MEX,70,bonding,0,0
m,single,y,MEX,70,achievement,0,0
m,single,y,MEX,70,enjoy_the_moment,0,0
m,single,y,MEX,70,exercise,0,0
m,single,y,MEX,70,nature,0,0
m,single,y,MEX,80,affection,0,0
m,single,y,MEX,80,leisure,0,0
m,single,y,MEX,80,bonding,0,0
m,single,y,MEX,80,achievement,0,0
m,single,y,MEX,80,enjoy_the_moment,0,0
m,single,y,MEX,80,exercise,0,0
m,single,y,MEX,80,nature,0,0
m,single,y,MEX,90,affection,0,0
m,single,y,MEX,90,leisure,0,0
m,single,y,MEX,90,bonding,0,0
m,single,y,MEX,90,achievement,0,0
m,single,y,MEX,90,enjoy_the_moment,0,0
m,single,y,MEX,90,exercise,0,0
m,single,y,MEX,90,nature,0,0
m,single,y,AUS,0,affection,0,0
m,single,y,AUS,0,leisure,0,0
m,single,y,AUS,0,bonding,0,0
m,single,y,AUS,0,achievement,0,0
m,single,y,AUS,0,enjoy_the_moment,0,0
m,single,y,AUS,0,exercise,0,0
m,single,y,AUS,0,nature,0,0
m,single,y,AUS,10,affection,18,0.0
m,single,y,AUS,10,leisure,18,0.0
m,single,y,AUS,10,bonding,18,0.0
m,single,y,AUS,10,achievement,18,22.22
m,single,y,AUS,10,enjoy_the_moment,18,77.78
m,single,y,AUS,10,exercise,18,0.0
m,single,y,AUS,10,nature,18,0.0
m,single,y,AUS,20,affection,0,0
m,single,y,AUS,20,leisure,0,0
m,single,y,AUS,20,bonding,0,0
m,single,y,AUS,20,achievement,0,0
m,single,y,AUS,20,enjoy_the_moment,0,0
